L1 Norm,Linf Norm
1.850998826195212,252.15136091299615
1.9233956423366767,303.8894071191676
1.968877095873216,312.5301190772113
1.855659351079604,265.71060249404906
1.805455928174187,244.1481697404413
1.778618934025484,227.16851985769836
2.0451504957199096,367.7394450262855
1.9553531718310189,308.0871845495785
1.9722119218377503,328.1796851375804
1.832386888212316,254.23780150498783
1.986706811725392,323.87008910459633
1.7678835671480964,213.72259261967156
1.9666399831210863,313.2569718604817
1.79527245425056,239.37452781919592
1.9798048858642576,314.1429389721141
1.9197948744605569,289.203846549539
2.075816841978185,370.5184660143908
1.9072990359362436,281.4769727123261
1.7923303796431598,231.5857707427081
1.960938000869751,312.4106298287448
1.9258116936178769,294.59663096066646
2.01887291060055,337.3233144226972
1.92498888129066,289.08936053809
2.1135825511483586,383.6595488461438
